target,predicted
Les visiteurs peuvent-ils accéder aux Archives d'État de la Fédération de Russie pour mener des recherches?,Pe Pyramc-ils voter les tourn de’un de combat Déclaration de son ? son ? table ? ?<fr>
Comment sont fabriquées les nouilles cellophane?,Combien s les des quiamb’i qui que ?en ?<fr> souver souver ? ? ?iers ? ? ?
¿Donde se encuentra la gran mezquita de Majachkala?,¿Dóndeur M ubica el Gran Grandek el Sanaráá de ¿<es> es esanyararños
¿Cuál es el género de la Sinfonía del Nuevo Mundo?,¿Cuál es el de de No Noencia de? 9 No? de?<es> es fue fue?o?
Quali sono alcuni temi o eventi principali discussi nel Libro di Esdra?,Quali sono i orra o or di fünfrara film di Katerarara先に<it>rarazra
Combien de temps a-t-il fallu pour construire le palais de justice de Stockholm?,Combien de temps la-t-il joué à la à personnageur la ? la ? ?m ?<fr> ?
Wer spielte die Rolle von Tarzan in Tarzan – Die Rückkehr?,Wer spielte die N in „ in in den““ „ Heimsen „<de> spielte””in”Filme”
Wer sind die Hauptfiguren im Film Kesse Mary – Irrer Larry?,Wer sind die Hauptfigur im in Film „ug und und Rte-endsch<de>ininörinin
ハリー・ポッターシリーズの魔法省の責任者は誰ですか?,ハリーポッターポッターの三魔でゴ』? <ja>ハリー長テ長だ姉ですかですかですかですか長
Quel type d'entité est la République galactique?,Quel est de’eau est de le même ducérice ? ?<fr>’’ ? ? ? ? ? ?
Wo kann man eine Kopie des Buches Stundenbuch Philipps des Kühnen finden?,Wo wurde das eine Hauptrolle des Königss des des der- B des des-„<de> der voniertenil?
¿Dónde se puede encontrar la Mezquita Azul?,¿Dónde nació presentó encontrar el constitución de?ién????<es>zilita?il???
¿Cuándo vivió Guillermo de Winchester?,¿Cuándo comenzó de L Lasun ¿<es> esany????????????
Qui sont les personnages principaux de Les Nouvelles Aventures du bus magique?,Quels sont les principaux principaux du R Babyins sort- de groupe deique ? du<fr> Jil R ? ?
ما هي فوائد تناول الشوفان المطحون,ما هي الأ الموجودة في في في في في في؟؟<ar>؟؟؟؟؟؟؟؟؟؟
Wer ist der Hauptdarsteller in 15. Klavierkonzert?,Wer ist die Haupt von derfolg „ sich No“ Repub<de> istin Königreichin?? findet???
كم عدد الحلقات الموجودة في المسلسل التلفزيوني لعام 1995 كبرياء وتحامل؟,كم عدد الأص في في سلسلة التي التي TV وتمرا من وتحاملتها“<ar> وكانت كل و؟د
