target,predicted
Qui est l'auteur de l'oeuvre Mademoiselle Julie?,"Qui est l’autore de la’autore s ? ? ? ? ? ? ? ?<fr>ieg ? ? ? ? ?""؟"
¿Qué título tenía Isabel de Bohemia?,¿Qué título de laque la tuvo? ¿<es> es?ar????????????
バラード第2番の作品番号は何ですか?,""" 3デ3年の、は何ですかか?す<ja>にあるダー市市スコ山山は何ですか山は何ですかは何ですかどのは何ですかは何ですか山"
Quel est le sujet d'étude à l'Institut national de la cinématographie Sergueï Guerassimov?,Quel est le nom de’un les vie’Oscar de de la sérieiqueieieieie ?ie deie ?<fr>
"Son los Nocturnos, Op. 48 considerados como las obras más famosas de Chopin?","¿ El de de,, de de de. en tipo Cat en de?? la??<es> esidoekido?"
タラ肝油はどのようにして得られるのですか?,ポのビアはいくつありますかがありますかは何人いますかいたの?を持っていますか?いくつありますか<ja>はいくつありますかはいくつありますかはいくつありますかはいくつありますかありますかはいくつありますかですかはいくつありますかはいくつありますかですかことはいくつありますかありますかどこですか
Qui sont les personnages principaux dans Scooby-Doo : Jeux Epiques pour Stars Olympiques?,Qui sont les personnages principaux de la deAs La Olympiques La de son principal de ?<fr> vientp sousinininé
متى تم إصدار فيلم بعد العاصفة ؟,"متى تم إصدار الأفلام "" ""راب فيديد فاي<ar> الق القد مخرج مخرج؟؟اليغ؟؟ارةاساليالي"
Nennen Sie einen Schauspieler oder eine Schauspielerin im Film Nur noch 60 Sekunden.,"Nenne Sie Schauspieler Schauspieler oder der Pop in Film „perins?""? oder<de> in in inierte int?t in"
¿Cuándo se estrenó la película Iru Mugan?,¿Cuándo fue estrenó la película M deidoanan? ¿<es> esido??????????
Quel type de bâtiment est l'abbaye de Thelema?,Quel est de l est l’É d Sidneyél ? est ?<fr> est est ? ? ? ? ? ? ? ? ?
Wie viele Staffeln der TV-Serie American Gangster wurden veröffentlicht?,Wie viele Haupt der der Serie Spielamerikanischen der- haben hat??”<de>ess spiel”etzhh? wurden Co?
¿Quiénes son los personajes principales de Perdidos en el espacio?,¿Quiénes son los personajes principales en lal? en la alto??<es> es esco??????
アンデクス修道院はどこにありますか?,アンターの出でしたか?4?<ja>れていますかカルれていますかれていますかいですかれていますかいですかですかですかどこですかれていますかどこですかどこですか?どこですかどこですかどこですかどこですか
セーデルマンランド公爵ヴィルヘルム王子はどのような人物ですか?,"""ダゴ代のは誰ですかは誰ですかしたのはは誰ですかは誰ですかは誰ですかは誰ですか?は誰ですか<ja>ミネームネームアーティストアーティストアーティスト誰ですかアーティスト誰ですかアーティストどこですかは誰ですか"
Che tipo di posto è il Počajivska Lavra?,Che tipo di Po è il Colossud diita dira?a4?<it>chcococoacococo di Po
コリントの信徒への手紙一の著者は誰ですか?,ノルのキ間プ 저자는代は写真<ja>のダーのですか王はですかのですかのですかですか政党のですか?のですか?政党ですか
