target,predicted
¿Qué instrumento ocupa un lugar destacado en la Sonata para violonchelo?,¿Qué juego de de premio de en el historia de de la????<es>????
Was ist die Bedeutung des Schrein Baha'ullahs?,"Wie ist der längste des Zweiten von,,-s vonen?<de> vonh?????"
Welche Art von religiöser Institution ist Trappistenabtei Rochefort?,Welche Stadt von Amerika von von in die und in???????<de>????
متى تم إصدار متمرد بلا سبب ؟,"متى تم إصدار فيلم فيلم ( ( (؟؟<ar> "" فيلم؟؟؟؟؟؟؟؟ ("
映画いつも2人でのジャンルは何ですか?,「2で222???<ja>2??????????
Come descriveresti lo stile di La festa dell'insignificanza?,Quanti si ha il è è ha Narnia di di'America di????<it> è di??
"Qui a réalisé le film Aguirre, la colère de Dieu?","Qui a remporté le plus de de : que ou le série ou ou l ? ?<fr>irre, ou"
西太平洋の遠洋航海者という本の主題は何ですか?,「・・2ののので、の????<ja>年の??????
Quand la cathédrale Sainte-Sophie de Vologda a-t-elle été construite?,Quand est série de aellea de a l ? ? ?-t-elle été publié ? ?<fr>
من هو مؤلف القصيدة الشهيرة، الأرض اليباب؟,"من هو الرئيس الذي الذي الذي، ""؟؟؟؟<ar> ""؟؟؟؟؟؟؟؟"
Welches Netzwerk hat Tarzan – Die Rückkehr ausgestrahlt?,Welcher Mitglied der die von: Der- gewonnen gewonnen“<de> und?????????
¿Cuál es la misión de la Liga de la Justicia Internacional?,¿Cuál es el persona de la saga de la saga de? de?<es> es de????
"Was ist das Genre des Films Guten Morgen, Miss Fink?","Was ist die jüngste des Landes----- der? oder oder?<de>,????"
À quelle période de l'histoire se déroule le livre L'Ami commun?,Quel quel équipe de l’Oscar a trouve a film de’année a ? ? ?<fr> a a ?
Wird Ringelreihen häufig auf Kinderpartys gespielt?,Ist ist ein einenes in in dem von? von??<de>????????
متى تم نشر الأرض الموعودة ؟,متى تم إصدار فيلم (ري؟؟؟؟<ar> تت؟؟؟؟؟؟؟؟؟؟
ما هو نوع أميرة المريخ ؟,"ما هي اسم من "" الذي؟؟؟؟<ar> الذي؟؟؟؟؟؟؟؟؟؟"
