target,predicted
¿Cuántas universidades hay en el edificio Doce Colegios de San Petersburgo?,¿Cuántos montañas hay en el Rey de de de de de? Los??? ¿<es>byia???????????????????????
Come descriveresti lo stile architettonico della Moschea di Sehzade?,"Quanti si ha ha il "" di di casa N di diadeadeade???<it>zadea???a??hzade??????z?z???ade"
أين يقع مسجد إبراهيم أغا مستحفظان بالضبط؟,"أين يقع "" "" أطولعلان دور "" فيان؟؟ان؟؟؟؟<ar> "" ش؟؟؟؟؟؟؟؟؟؟؟ا؟؟؟؟؟؟؟؟؟؟؟؟"
هل يمكنك تقديم ملخص موجز لفيلم قناع زورو؟,هل كان فيلم فيلم على فيلم فيلم فيلم منِ؟م فيلم؟<ar> فيلم؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟
¿Puedes proporcionar un breve resumen de La increíble y triste historia de la cándida Eréndira y de su abuela desalmada de Gabriel García Márquez?,¿Conor a a de personaje de y en la M deint de fuego de de M Muer de? y? por también M M M? M deed? Med de yuer y deáfico<es>
من أي سلسلة يأتي يوغي موتو؟,ما سلسلة سلسلة سلسلةانانانان؟و؟؟<ar>؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟
Quelle a été la découverte surprenante de l'ADN trouvé sur les scènes de crime liées au Fantôme d'Heilbronn?,Quel était été la plus de de par par la’Univers à dans l années de la ? ? cinéma ? ?’Universimalaya de ? ? ?<fr> a d d’ s ? a a a a a’’
Quels éléments uniques de la narration utilise Pour Esmé avec amour et abjection?,Quel sont de de la série du et et et a et laation et a et ? ? ?<fr> a ? » ? ? ? ? et ?alor ? ? ? ? ? ? et et etet et a
Chi è l'attore principale nel film Il distinto gentiluomo?,Chi è l'attore attore dei film Il Signore delondore????<it> Mar è????????ilu????????? regista???c
雪国はどんな種類の作品ですか?,ダンのは何ク最もは何ですか?でしょうか<ja>山ですかは何ですかは何ですかですかは何ですかは何ですかは何ですかですかですかは何ですかですかは何ですかは何ですかですか?は何ですかましたかは何ですかですかですかは何ですかは何ですかですか?は何ですかは何ですかは何ですかは何ですかは何ですかは何ですかは何ですかは何ですかは何ですか
"Können Sie eine kurze Zusammenfassung der Hauptthemen geben, die in Die Holocaustindustrie untersucht werden?",Erschien der einen demokratische-- der Hauptdarstellerart- von- in am der Gefy???“?<de>y?????“?????“??<de>????“??“?er
Was sind einige beliebte Anwendungen für Einplatinencomputer?,Welche sind zwei ders und dasenen- einen??“?<de> eineik????????????????ik???ik?k??ikik
Qui était Louis Aloÿs de Hohenlohe-Waldenbourg-Bartenstein?,"Qui était le leventureson,, l :, à,à- de ?,iloy ? ? ?<fr> ? ? ? ? ? ? ? ?on ? ? ? ?onon ? ?onon’"
¿Quiénes son los actores principales en Una pandilla de lunáticos?,¿Quién tiene el las libros en en lajadrino de? la???<es>andilla????????????????????????
Was macht das Master-Schwert in The Legend of Zelda-Spielen so besonders?,Welche ist die erste-S in- Der Legend of Zelda ofPreis? veröffentlicht??“?<de>-“??????????????<de>????“??“?p
Chi ha diretto il film Madre e figlio girato nel 1997?,Chi ha diretto l film e e e ha?? film?<it>??????????????????????????????
La società aperta e i suoi nemici è un'opera molto influente?,Il casa di e è primiure di un personaggioanno di di di da e<it> è e e e e???????? e da? e????? e e e? e
