target,predicted
アムル・イブン・アル=アース・モスクの目的は何ですか?,・にパスのンのキャンののローはいつプレイニュの低いはどこですか?)<ja>カルはどこですかですかの名前は何ですかはどこですかはどこですかどこですか
Wo kann ich Episoden von Love Like The Galaxy sehen?,Wo hat die I von die von „ I? World?? Die<de>'”ster?ierteiersectect?sterster
L'Otage du gang est-il un drame ou une comédie?,L’ncé est film est-il un ber ou ou un période ? ? ?<fr> est ? ? ? ? ? ?
¿Cómo se llama la isla en la que se encuentra la Catedral Armenia de la Santa Cruz?,¿Cuál se llama la isla de el C la encuentra el Cámararal de? la C Helena?? ¿<es> eset
シン・ブルー・ラインの主人公は誰ですか?,シン・ルー・ブルーナは誰ですか? <ja>・・・ピ・・高いは誰・チームですか2誰ですかしたのは誰ですかは誰したのは誰ですか
¿Cuál es el género de Sinfonía n.o 3?,¿Cuál es el nombre de lasada más en. en en?<es> es es??ü??????
Che tipo di opera è Trump: L'arte di fare affari?,Che tipo di Pic è la: Il'in e L a??<it> è è??????? groß
Welche Bedeutung hat die Apokalypse des Pseudo-Methodius in der syrischen christlichen Kunst?,Wie Stadtin die größere desemon des Pen Zernen“H isterst einem P in Film??“<de>er
Chi sono i personaggi principali del film Le galline selvatiche e l'amore?,Chi sono i film dell nel film nel Futare dellore inuri l'undore?4?<it>akakakineéc
¿En qué serie de cómics apareció por primera vez Michael Holt como superhéroe?,¿En qué serie de la Ad Michael primera vez un unr Bre primera?s un??<es> actorilililar
¿Quiénes son los personajes principales de El imperio de la ostentación?,¿Quiénes son los personajes principales en El señor? la Tierra????<es> esiro?aros???
¿En qué año se estrenó la película Los infieles?,¿En qué año se estrenó la película de Ángelesesers? ¿<es>idoidoido?achachililyaido?
Dove si trova il Monastero di Valaam?,Dove si trova il Vala di Mam?a?<it>coa???????????
カラ・アフメト・パシャ・ジャーミイが建設されたのはいつですか?,アパミ・・ミンはンがミはいつされましたかが出版いつですか??<ja>・・・されましたかしたのはいつですかでしょうかパでしょうか映画は何ですか
"¿Cómo describirías el Monasterio de Vazelonen Maçka, Trabzon?","¿Qué se jugó atleta de de Velanaonatoisión,? Masononioise<es>onel?"
هل يمكنك تسمية أي أعمال فنية أو أدبية بارزة أخرى مستوحاة من حياة آدم وحواء؟,هل تمت الأ أ نوعصب أارق الأ مسلسلوباماريكًا أو؟؟ًا؟ الأ؟دم؟؟؟؟<ar>
ما هو التركيز الرئيسي لمستقبل الوهم لسيغموند فرويد؟,ما هو الخصم سلسلة لع تتمم فقط الذيبوللفانيا؟؟م أكت<ar> ش شوك ش؟؟؟؟
