target,predicted
¿Durante cuánto tiempo ha sido la Cartuja de Florencia un lugar de culto?,¿Cuáiel tiene tiene tiene tiene tenido el historiaámara de?? Grandes?? proyecto? Grandes??<es>u
من هي الشخصيات الرئيسية في بطاريق مدغشقر؟,مَن هم الشخصية الرئيسية في فرقة س منًاش؟؟؟؟<ar>؟؟؟؟؟؟؟؟؟
كم عدد الصفحات التي تحتوي عليها رواية ملائكة وشياطين؟,"كم عدد السلا التي التي تم على فيلم ""يايا؟؟؟؟.<ar> بها؟؟؟؟؟يا"
ما هو طول حصن دربند وما هي المواد المستخدمة لبنائه؟,ما هي سهانوغ الذيون د د دةنون بواسطة؟<ar> شةة؟؟؟؟
ボスポラス海峡の入り口に乙女の塔ができてからどのくらい経ちますか?,リスジ・のシリーズではどのくらンの火オ、の亡くなったている、大巻?でしょう??? <ja>
كم عمر كتاب الموتى؟,"كم عمر المدرب ""؟؟؟<ar>؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟"
¿Quiénes son los personajes principales de Mis 3 hermanas?,¿Quiénes son el juegos principales de Oroas????<es>asasas???as??
¿Cuándo ocurrió la Batalla de Endor en la línea de tiempo ficticia de Star Wars?,¿Cuándo se la batallaatalla de la en se la Unión de la??? la Wars? ¿<es>??
Chi è l'autore di Angeli e demoni?,Chi è l'autore di Hannover di di loni??<it>oniva????????
¿Cuál es el significado histórico de la Abadia de Saint Gilles?,¿Cuál es la nombre de de la casa de de que--? ¿<es>ú?-????
ما هو الغرض من كتاب الموتى؟,"ما هو لقب الإ الأ ""؟ ""؟<ar>؟؟؟؟؟؟؟؟؟؟؟؟؟؟"
Wer ist der Autor des Buches Stadt der Illusionen von 1967?,Wer ist der Autor von Buch- der kürz Buch?? „?<de> die????????
Qual è l'emblema o il simbolo associato alla Casa Atreides nell'universo di Dune?,Qual è il'O più per l maggior Princip più Casa Biancabe perio'Oità di libri?4?<it>
Di quanti episodi è composto Holly & Benji Forever?,Quanti quanti film ci composto in Ad di diili??<it>ilyico?????????
ホーコン2世の治世中に起こった注目すべき出来事は何ですか?,ノルルンの番目のエで、、は何ですか、は」?そ<ja>・はどのは何ですかは何ですかは何ですか自身できは何ですか
"Welche Art von Film ist Bugs Bunnys wilde, verwegene Jagd?",Welcher Art von „ ist Deröl/ester von vonohn? hat wurde ausgezeichnet wurde?“?<de> istfilmfilmfilm
Où le Tabac oriental est-il principalement cultivé et cultivé?,Où est script se et la-il lé lalu la ? ? ?<fr>astierierier ?ier ?
