target,predicted
¿Quién es el tema del Monumento a Colon?,¿Quién es el gobernador del monumentoumento a Crist Colón ¿<es> Roóó?óidoó???ó????
¿Cuándo se publicó Un Curso de Milagros?,¿Cuándo se construyó el enement en los en???<es> es enekek?????ek????
كم عدد الحلقات الموجودة في حب منطق انتقام؟,"كم عدد الأياد في في ""بام ""،بامب،<ar> را رااس را؟اساساساسب؟؟"
サンコーレ・マドラサはいつ設立されましたか?,何レレラレラサラ成立されましたか?でしょうか<ja>山が山が・したのはいつしたのはいつしたのはいつしたのはいつどこですかしたのはいつしたのはいつしたのはいつでしょうかどこですかどこですかしたのはいつ
En quelle année le roman Le chant de Bernadette a-t-il été écrit?,En quelle année Le roman Le roman de Nadad de-t-il été publié ? ?<fr> colintou ?in ?
"Pouvez-vous fournir un bref résumé de 1931, le procès Hitler?",Leomp a auil est de livre duome-dog a championit avait personnage- ? ?<fr> auntistenèin ? ?
A quale genere appartiene il film Les Hommes libres?,Qual quale mar è dell maggior più Aass è? Des<it>tern Hternran高い?高い????????
Où peut-on voir le tableau Bélisaire demandant l'aumône?,Où vit faiton trouver l plus de deus pour en continent’Aé est ?<fr>isèusieristenanyar ? ?
アルベルトはどこで生まれましたか?,ゼン・生まれましたか?ま<ja>カル生まれカル geboren指導 geboren日はいつですか日はいつですかはどこですかでしたかでしょうか生まれましたかですかでしょうかですかどこですかはどこですかですかどこですかですかでしたか
白水阿弥陀堂はどのような場所ですか?,ティニ泳で、、入り古は?4?<ja>カルカルカルカルカル歴史カル川いですか川カル高いカル川いですかいですか
¿Cómo transmite datos unpuerto serie,¿Qué se r contra tiene brazolo??<es>akrerererere actor? actor?ar actor?????
À quel genre appartiennent les films Turkish Star Trek?,Dans quel pays le la films de ont-- ?<fr>-preininin ?um ? ? ? ? ? ? ? ?
4) ¿Qué poderes poseen las Cartas Clow?,4 los ¿cuá solo del en en Conduas??? ¿<es> tanas??????????
¿Quién es el autor del libro Una llama entre cenizas?,¿Quién es el autor de libro de An de el en en ¿<es> es esfrilin?ar??????
"Qual è il genere di Lo spopolatore, l'opera d'arte nota per i suoi elementi surreali?","Qual è l cognomeata Leato aluto, il'autoreì per'ultimo?? il suoif?????<it>"
シン・ブルー・ラインがテレビで最初に放映されたのはいつですか?,シン・ブルーがブルーブルー最初の最初の初めてされましたか?多<ja>・・・ールドしたのはいつ・されましたかはいつどのしたのはいつしなかったのは映画は何ですかしていましたかいつですか
ما هو نوع مسلسل كيبو وعصر الوحوش العظيمة؟,ما هو اسم الب رجلن الخاص و في فيقًا؟؟<ar>منمنيرةمن و؟؟؟؟؟؟؟ ك
