target,predicted
イタリア協奏曲の作風はどのようなものですか?,第にのには何人の「に格手は何人いますか(<ja>の政治政治山ですかですかですかですかですかですかですかことですかですかですか
アートワークは鋼鉄都市という本とどのように関連していますか?,「テネの主な都市関話話のありますかがありますかですかですかわるですか?4?<ja>巻れているは何ですかですかですかことは何ですかですか史
反乱同盟軍の拠点として知られている惑星はどこですか?,韓コメのでられているメイの?彼女<ja>ミミミコミュージットのは何ですかは何ですかは何ですかミ誰ですかは何ですかどこですかどこですか
Welche Rolle spielt die Fee Patin in den Shrek-Filmen?,"In Rolle hat der kommerziyyisten „ „ Hauptrolle-T hat""<de> hatisten Filmekistenkkistenilk"
كيف يقارن حصن دربند بأسوار المدن القديمة الأخرى في جميع أنحاء العالم؟,كم تُ منيةكتور فيوننهاال في التيسا الذي مدينة العالم أنها؟؟؟؟<ar> تهاون
I visitatori possono entrare nella cattedrale dell'Epifania in Elochovo ed esplorare il suo interno?,Lเยี่ยม rat la les Yif'O ema era Yesi all edif è nel E 70 stesso? e<it>
¿Cómo se usa la leche en polvo en la cocina y la repostería?,¿Qué se llama la p p en el y el p hay es p de???<es> es?co???
ما هو الاعداد للمسلسل التلفزيوني كبرياء وتحامل؟,ما هو الخصم سلسلة سلسلةخ ك وبرياء إامل؟؟<ar> الخصم كال؟؟؟؟؟؟؟؟؟
Quand Scooby-Doo : Jeux Epiques pour Stars Olympiques a-t-il été diffusé pour la première fois?,Quand a’ces La Olympiques a a La de de-t-il été produit première son première fois ? ?<fr>v
カルバノグの殺人ウサギは映画の登場人物にどのように脅威をもたらしますか?,映画のスがンののネのはウスネ、のし映画、での映画何歳?登場<ja>ののネ映画
Comment décririez-vous labbaye de Maulbronn?,Combien s- présent l leils est le- de dé ? ? ? ?<fr> aientient ? ? vient ? ? ?
Combien de places compte le stade Dynamo?,Combien de médailles de la D deres Dine ?<fr>’hetv ?ililum ? ? ?ilamo ?
"Quel est le genre des Nocturnes, opus 55?","Quel est le manager de championsers deur le de ou,<fr> est’’zeinzeinzein ?in ?"
墳丘の怪は重要な芸術作品と考えられていますか?,旅のは旅はミ学??ですか?多<ja>旅と考えカルですかですかですかですかですかですかですかですかですか
Où se trouve le monastère de Sucevița?,Où est trouveait Bolce footballce que est ?- ?<fr>viain estce ?il ?ilceviil ?
世界中のゼロ・エネルギー・ビルプロジェクトの例は何ですか?,世界中に主なジポアイポグアイポアルバムマ学?双<ja>ースポは何ですかポどこですかどこですかどこですかは何ですかどこですかどこですか
¿El Lobo feroz se retrata siempre como un villano?,¿El senones Un era se como ub comoin Pr Mard? Bad?<es>cococococo??ar
