target,predicted
¿Se puede comer el rábano blanco crudo o hay que cocinarlo?,¿P publicó tipo be apodoio dera más o hombres en noy enun ¿<es>co otromesilyailar geremesj
Pouvez-vous brièvement résumer l'intrigue de Appel d'un inconnu?,Àomp a foisilitsugées de d du’un de auu ? champion ?aire’un ?el ? ? ?<fr>onn
¿Cómo afecta la Erebor a los paisajes y regiones circundantes?,¿Cómo se el construcción de sobre la piratas que y la la de de deadores<es> es famoso famoso actor actorde famoso???ita
كيف يتم صنع الشوفان المطحون,كم ف إ فيًاًا؟؟؟؟<ar>؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟
ゲオルギー・マクシミリアノヴィチ・レイフテンベルクスキーに関する追加情報をを教えてください。,"""レの・アイニングはアリー4ティ4リアイカーング19賞、本?できる浴しているしているられたさい??<ja>"
¿En qué año se publicó el libro Fuego y sangre?,¿En qué año se publicó el libro deuego y F a ¿<es> escribióahita?co???ya?????
Können Sie einen kurzen Hintergrund zu Nicolas von Schweden geben?,"Kann welchem einen Titel der sind der und Mexiko,,ierende<de>ierteinkkbtinierteiertenkiertenterinierte?kin"
Was ist die Bedeutung von Trappistenabtei Notre-Dame-des-Neiges?,Wie ist der meistverkaufte des Quins des desith nach- DameBuch-TupBuch??“?<de>ppisten findetv???
Quando si è saputo che il Fantasma di Heilbronn non esisteva?,Quando si sono stata stata che non minor che di avere che non non sonochi?<it> firmnoagnoagno dato?ico dato??no
Was ist das Genre des Films Kein Lied für meinen Vater?,"Wie ist das K des K-ake, von diest K für Die<de>inkkatistenkininkininkk"
Wann wurde der Bahnhof Wyborg gebaut und für die Öffentlichkeit zugänglich gemacht?,Wann wurde V V kolv und? er die Ver????4?<de>indenindenindenindenaufindenindenindenauf??inden
أين ولدت الأميرة مارتا من السويد؟,أين ولد ابنيرة البطلماني سوان السويد؟ Venus<ar>وري؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟
ペルーの国章で一般的に使われている色は何ですか?,ペルーの土ige、のはどこでしょうかですか?多<ja>のののは何ですかですかですかですかですかどこですかですかどこですかですかどこですかどこですかですかのは何ですかどこですか
¿Cuál es el significado del Monasterio de Vazelon?,¿Cuál es el protagonistaio V V de Vioononioadores<es>ononononon?ondononon??
In quali anni ha vissuto Carlotta di Prussia?,Quale quale anniazione ricevuto la della? 100?4?<it> anni????ico??????ico????
Was waren einige der vorgestellten Themen in Spiele des Lebens?,Welche waren die der alliierten dem sang im in des der des Trons?<de> dieiertenierteniliertensterininü????
Qui est l'auteur de Jamais plus?,Qui est l’autore de l du a âgé ?<fr> estilcoco ? ? ?ach ? ? ? ? ? ? ? ? ?
