target,predicted
¿Qué contribuciones hizo Malak Hifni Nasif al movimiento feminista en Egipto?,¿En película publicó Malcomifassif te en durante sur encu en H? ¿<es>jjakjif?jifjjak??ifn
漫画アイドル事変」の主人公は誰ですか?,『ペペフィンののの主人公は誰ですか? 『<ja>ズズは誰は誰は誰は誰は誰は誰は誰は誰高いどこですかしたのは誰ですかは誰どこですか?は誰どこですかどこですかは誰は誰は誰??
متى تم إطلاق المسلسل التلفزيوني العاطفة المحرمة لأول مرة؟,متى تم إصدار أول أول سلسلة الأول الأولملة التي مرة؟ الأولى<ar> آرر؟؟؟؟؟؟ر؟؟؟؟؟؟؟؟؟؟؟
テレビシリーズ ペプシよ、戦闘機はどこに? ～景品キャンペーンと法廷バトル～ は主に誰に焦点を合わせていますか?,"""オビーのの最後のの第リオオは誰一番のが高いのは 『時の車輪は誰は誰でしょうかは誰ですかは誰ですかどこですかは誰ですか???子は??は誰は誰ですかどこですかは誰??<ja>どこですか"
Wann wurde Der Splitter im Auge Gottes veröffentlicht?,Wann wurde der Moys in Kampf Prinzessin ilk?“?<de> geboren” in in in in?????????????????
"Qual è il nome completo del regista greco noto per il suo stile distinto, Theo Angelopoulos?","Come è il nome completo di romanzo di,is la ruolo ruolo di di chi Sund di di di? 『<it>zo di?odEAos Angeltagon???"
Le 31 février est-il une date réelle dans notre système de calendrier ou n'existe-t-il que dans l'entité fictive?,Le 31ra a-il une plus ené une le rôleée la en le’O ? ?t-il une le le’un ? ? ? une ?<fr>
"Wer hat das Buch der Tausend und einer Nacht geschrieben, das Aladin und die Wunderlampe enthält?","Wer hat das New der ""ab und und ist Nez und die kein undet und ist Hauptrolleendew?? Das<de>adin und die Wend?ung zu"
Wer ist der Autor von Der Blaue Lotos?,Wer ist der Autor von Der Lildir?.?4?<de>f beginnt???????????????????
Potete fornire una panoramica del grafico Acciai grado SAE?,Pu ha ha haoneatore del ha Partito' di di sper?io.多<it>enaena???????????????
あんず油には健康上の利点がありますか?,「フェルは公ななありますかですかですか?ですか??<ja>ですかですかですかですかですかですかですかですかですかですかですかですかですかですかですかですかですかですかですかですかですか
¿Cuál es la naturaleza del grupo llamado los Mutados de la Tierra Salvaje?,¿Cuál es el ciudad del protagonista de el seleccion que que la película deva?? ¿<es> es hizo??ido??? Salvaje????
夢去りぬで強調されている主な色は何ですか?,2ゲーム愛ゲームので、にあるの名前は何ですかの名前は何ですか?の名前は何ですか?名前<ja>カル山山の名前は何ですかは何ですかの名前は何ですかの名前は何ですかの名前は何ですかは何ですかの名前は何ですかの名前は何ですかの名前は何ですかは何ですかの名前は何ですかどこの名前は何ですかの名前は何ですかの名前は何ですか??
Chi sono i personaggi principali de I pirati dell'acqua nera?,"Chi sono i personaggi dei nella ""atiati dei'O I???<it>??????????????????"
Wie viele Sätze gibt es in der 3. Sinfonie?,Wie viele W gibt gibt es in „ Hauptrolle?? 1996??4?<de> hatt??????????????????
乙女の塔は芸術作品ですか、それとも灯台ですか?,"""環にははは、 oder oder聖ペですか??多<ja>ズ山いですかですかですかですかですかいですかですかいですかいですかいですかですかいですかいですかいですかいですかいですかいですかしていますか"
¿Quién dirigió Nuevos rebeldes?,¿Quién dirigió laado la? ¿<es>ióió????????????????????????
