target,predicted
Quali sono i potenziali rischi per la salute associati all'uso del tabacco da masticare?,Quale sono i libri di diato con il sua cheia'etàità Tempo?o ness????<it>ia???
Wann wurde das Klavierkonzert Nr. 1 zum ersten Mal aufgeführt?,Wann wurde das Feuerume No in.. von? ersten Os????<de>??????????
Dove si trova l'Abbazia di Saint-Germain-des-Prés?,"Dove si trova il'in-- di Dr-in--'se-Delia?""?<it> è?inin??"
¿Quién dirigió la película de 2004 Un día sin fin?,¿Quién dirigió la persona basada Billy Alia de el al ¿<es>itaitaitaita??????????
Quel type d'oeuvre d'art est présent dans le Palais national?,Quel type de’un est est en’un dans le dans le personnage ? ? ?<fr>au ? ? ? ? ? ? ? ?
¿Cuándo se construyó el Palacio Beloselski-Belozerski?,¿Cuándo fue estrenó la apodo de de dez-Bistaersers de? ¿<es> es es?????ers?
في أي بلد يقع دير كلوني؟,ما أي دولة يقع في في؟ في؟<ar>؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟
من هي الشخصيات الرئيسية في دراغون بول زد : شجرة القوة؟,"من هم الشخصية في في سلسلة "" درا ""س: ofوبدد<ar> الع؟؟؟؟؟؟؟؟؟؟؟"
Quando è stata costruita la Torre di Tokyo?,Quando è avvenuta l l seconda? Tokyo??<it>?????????????????
Was sind einige der wichtigsten Persönlichkeitsmerkmale von Marja Bolkonskaja?,Welche sind die der Gelk'k der derkkk Spanienkkkkk?“?<de> hatk?k?k
كيف يتم صنع الشوفان المطحون,كم غ كتابتداًا؟؟؟؟<ar>؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟
كيف يقارن حصن دربند بأسوار المدن القديمة الأخرى في جميع أنحاء العالم؟,كم غ من كيوغونوني في في في؟ن؟؟ العالم؟يمال؟؟؟؟<ar> هو؟؟؟؟
日本のテレビシリーズはじめてのおつかいの主人公は誰ですか?,『『のので『でだったのは 巻は誰ですか? 『<ja>オソれているしましたかしましたかしましたかしましたかですかしましたかしましたかしましたかしましたかしましたかましたか
Ein schrecklich nettes Haus: Wie viele Staffeln der TV-SerieEin schrecklich nettes Haus wurden produziert?,In die Maison: dieahm der der die heißt In die der In?Reihe?????ört????“?<de>
映画可愛い配当のジャンルは何ですか?,『「『が『ビルのビルの? 『<ja>カルのは何ですかは何ですかは何ですかは何ですかは何ですかは何ですかは何ですかは何ですかは何ですかは何ですかは何ですかは何ですかは何ですかは何ですか
肝油を摂取する利点は何ですか?,人口がのの共したでしょうかものは何ですか?は何ですか??<ja>ののは何ですかは何ですかは何ですかは何ですかは何ですかは何ですか??は何ですかですか???
夢去りぬで強調されている主な色は何ですか?,『くるのシリーズののシリーズの、のは何ですかの名前は何ですかは何ですかは何ですか?どれですか<ja>ポ巻は何ですかは何ですかは何ですかは何ですかは何ですかは何ですかは何ですかは何ですかは何ですかは何ですかは何ですか
