target,predicted
متى تم الكشف عن تمثال بوسا للتحرر ؟,متى تم إصدار فيلم فيلم دوروس ب في؟ قبل؟؟؟<ar> فيلم؟؟؟؟؟؟؟؟؟؟وس
ما هو الشكل الفني لستة شخصيات تبحث عن مؤلف؟,ما هو ثاني الذي فيمم في؟ في في؟؟؟<ar>؟؟؟؟؟؟؟؟؟؟؟؟
ما هو النوع الفني لسلسلة الأنمي الرحالة الصغير؟,ما هو الإصدار الذي في الذيع في؟؟ في؟؟<ar>؟؟؟؟؟؟؟؟؟؟؟؟؟
¿Cuál es la ocupación de Melanie Healy en el programa EastEnders?,¿Cuál es el última de laa de en enal el siglo?????<es>????al??
كيف أثرت كونستانس من قشتالة، ملكة فرنسا على المشهد السياسي خلال فترة حكمها كملكة؟,"كم فازطفالبررونب قبلدي في في ""؟؟ ""؟؟؟؟؟؟؟؟؟؟<ar>"
Dove è stato trovato l'Uomo di Grauballe?,Dove è stato pubblicato l'Oscar della? N????<it> ha???????????
In che modo le Giovani Marmotte sono diventate parte della cultura popolare?,Quanti quale anno fa filmch di èati è stati? dei serie???<it>erson????????
ケルンのブルーノはどこで生まれ育ちましたか?,ゼルダの伝説ノの・で?では?? <ja>・?????????????
トルコ行進曲を作曲したのは誰ですか?,最初の曲ででの?接は誰ですか?誰ですか<ja>コ?行?????????????
Wer sind die Hauptfiguren im Film Kesse Mary – Irrer Larry?,"Wer sind die Hauptfigur in in Kschy,? „???“?<de>,????????"
Combien de places compte le stade Dynamo?,Dans de films de le personnage- D ? ? ?<fr>j ? ? ? ? ? ? ? ? ? ? ? ? ? ?
Dans quelle région de France se trouve l'abbaye de Royaumont?,Dans quelle université de la a trouve-’Oscar de la ? ? ?<fr> a a ? ? ? ? ? ? ? ? ?
Quanti anni ha la cattedrale di Santa Sofia a Novgorod?,Quanti anni ha l primaia Castiaiaia? lungo???<it>iaia??????ia??
Comment les nouilles cellophane sont-elles couramment utilisées en cuisine?,Combien s années’-- de de ont-ils- de de 2020 ? ?<fr> s ? ? ? ? ? ? ? ?
Où pouvez-vous regarder Selena: La Série?,Où est at-il a-- The NFL mondiale ?<fr> est ? ? ? ? ? ? ? ? ? ? ? ?
متى ولد إفيغيني روداكوف ومتى توفي؟,"متى تم فيلميفر ""ب""ك فيكككلا؟؟<ar> فيلم فيلم؟؟؟؟؟؟؟؟؟"
Wer hat die Suite Lieder ohne Worte komponiert?,Wer hat die meisten gewonnen gewonnen?????<de>???????????????
