target,predicted
"Qui est le personnage principal de Aguirre, la colère de Dieu?","Qui est le personnage principal de la, dansir, le sagaère du la ? ?<fr>uirreuortade ?ère ?"
هل يمكن استخدام نشا الذرة كعامل سماكة في الصلصات والمرق؟,هل تمّ سلاحه علىًا علىيت فيلةك الب الجلميتيت نفسها نفسها.<ar> ارتفاع الملاعمانزم؟؟
Con chi era sposata Amalia d'Assia-Homburg?,Chi fu è ilteine di'Oass diOatoorte d4?<it> èoraat??in?????
フアナ1世はどのような役割を果たしましたか?,フ11世とがはが?どの<ja>1統治どのどこですか人がですかどこですかどこですかどこですかどこですかどこですかどこですかどこですかどこですかどこですかどこですかどこですかどこですか
Où se situe le palais du Prieuré?,Où se trouve la roiie roiie deieie<fr>ieieieieieie ?ieie ? ? ? ? ? ? ?
Quando è uscito il film Rudolf alla ricerca della felicità?,"Quando è uscito il film "" eT fine di Secondaa?4?<it> spieltro e e I??????? alla"
シコデリコ・ジュニアの職業について教えてください。,『ングルロラドンはのマルソンはが何に何ののでしょうかさいでしょうか?<ja>回は何人いますかくらのですかですかのですかのですかでしょうかでしょうかのですかでしょうか
メーターと恐怖の火の玉を一言でどのように説明しますか?,『ジャー・今8活動回小説するキャラクター切るいくつするった?彼女<ja>話ミミ大会していますか大会ありますかしましたかしましたかましたか
テレビシリーズ長くつ下のピッピにはいくつのエピソードがありますか?,「イディーットにはいくつのつか家族ラスがありますかインのードがありますか?多<ja>ナピミましたかがありますかあるがありますかある曲ましたか
Können Androiden in Träumen Androiden von elektrischen Schafen? träume von elektrischen Schafen erleben?,Kannikfische für Doäische keine zuischeische einer Unterert zu„schischeieren sie sieok zu?4?<de>ierte
من المسؤول عن تصميم مسجد إبراهيم أغا مستحفظان؟,"مَن الذي الذي دور الذييم الذيحهام بواسطة المنيم ""؟يم؟؟.<ar> شبرا العام؟اس؟؟؟؟"
Les pomme à cuire sont-elles généralement plus sucrées ou plus acidulées que les pommes de table?,Lesquur de saés :-ils été de de deouts à bien de jeuxies ? le livres ? ? livres ? ?<fr>
من هي الشخصيات الرئيسية في بطاريق مدغشقر؟,مَن هم الأ الرئيسية في الدورييت؟ًاش؟؟؟؟<ar>غ لأ؟؟؟؟؟؟؟؟؟؟؟
Quali sono i colori tipicamente usati nello stemma della Russia?,Quali sono i fiumiisti nellaoli il di di Squad?4?<it>chch????????????
¿Quién es el autor de El hombre en el castillo?,¿Quién es el autor de El viejo de el año??<es> es es????????????
ミオよ、わたしのミオのジャンルは何ですか?,"""オミオマオ動オ山高いですかは何??<ja>オオ山いですか?いですかいですかいですかいですかいですかは何いですかいですかいですか"
كم عدد مواسم المسلسل التلفزيوني فلينستون؟,كم عدد الجوائز التي التي التيين التي التيية<ar> بي؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟
