target,predicted
Per quanto tempo l'Imperatore Ai di Tang è stato al potere?,Quanto quanto fu fu'imperatorei dii? Y? morto? momento??<it>???
من هو مؤلف كتاب قصة عن الحب والظلام؟,"من هو المؤلف "" في "" "" منر؟؟؟<ar> ش ""؟؟؟؟؟؟"
¿Cómo se recuerda Ginés de Roma en la historia hoy en día?,¿Cuál se llama en de en en la en la Bah de? la??<es> de??
"Chi è l'autore del Libro di Esdra, e quando è stato scritto?",Chi è l'autore di Signore di Trz di e quale l è stato pubblicato??<it>ò
Welche Rolle hatte Rudolf inne?,Welche Schauspielerin hat die haben der der-“<de> hatsch?????????
هل بيت البخار كتاب أم عمل فني؟,"هل تم ""ن كتابور كتابوريت على؟<ar> آ؟؟؟؟؟؟؟؟"
¿Cuál es el propósito principal de la Mezquita Faisal en Pakistán?,¿Cuál es el nombre que de la F que queal enal en en F? ¿<es> es
Comment le riz étuvé est-il préparé?,Quel s romanê de de la-il sorti de ? ?<fr> estet ? ? ? ? ?
Qui est la mère du prince Gabriel de Belgique?,Qui est le première de Japon de’ la ? ? ?<fr>’ ? ? ? ? ? ? ?
¿Cuál es la principal diferencia entre laleche condensada y la leche normal?,¿Cuál es el canción más más la’ y y y y también cuarta película??<es><es> fue
"Qui sont les principaux acteurs de la série télévisée Bonjour, Verônica?","Qui a les jeux de de la série Les,, plus vers qui ou, ? ? ?<fr>t"
كم كانت فترة عبدالله بن سعد بن أبي السرح كحاكم لمصر؟,كم كان أ منُ في س فيور إ فييرلنداان؟؟؟؟؟؟؟<ar>
Combien de temps dure le film 9 Semaines 1/2?,Combien de montagnes le la plus de-2 ? ? ?<fr>’ ? ? ? ? ? ? ?
¿Cómo se cocina tradicionalmente la pasta Cabello de ángel?,¿Cuá se llama la en en Unión de de de? la?<es><es>?????
アルジャーノンに花束を の著者は誰ですか?,アルン・ン・ありしをリリースしたした <ja>ノズズしたした?を?
Combien de Suites françaises J. S. Bach a-t-il composées?,Combien de guerres Japonais J J. Rowling. J a-t-il été ? ? ?<fr> était
ゾフィー・フォン・メクレンブルクはいつの時代の人ですか?,百年はいつ・モ・アッシ・ブはいつだった噴火でしょうかでしょうか??<ja>はいつはいつはいつ
